,Close,Open,High,Low,Volume
2009-01-03,3.2727272727272725e-06,3.2727272727272725e-06,3.2727272727272725e-06,3.2727272727272725e-06,0
2009-01-04,3.2727272727272725e-06,3.2727272727272725e-06,3.2727272727272725e-06,3.2727272727272725e-06,0
2009-01-05,6.545454545454545e-06,6.545454545454545e-06,6.545454545454545e-06,6.545454545454545e-06,0
2009-01-06,9.818181818181818e-06,9.818181818181818e-06,9.818181818181818e-06,9.818181818181818e-06,0
2009-01-07,1.309090909090909e-05,1.309090909090909e-05,1.309090909090909e-05,1.309090909090909e-05,0
2009-01-08,1.6363636363636363e-05,1.6363636363636363e-05,1.6363636363636363e-05,1.6363636363636363e-05,0
2009-01-09,1.9636363636363635e-05,1.9636363636363635e-05,1.9636363636363635e-05,1.9636363636363635e-05,0
2009-01-10,2.2909090909090908e-05,2.2909090909090908e-05,2.2909090909090908e-05,2.2909090909090908e-05,0
2009-01-11,2.618181818181818e-05,2.618181818181818e-05,2.618181818181818e-05,2.618181818181818e-05,0
2009-01-12,2.9454545454545453e-05,2.9454545454545453e-05,2.9454545454545453e-05,2.9454545454545453e-05,0
2009-01-13,3.2727272727272725e-05,3.2727272727272725e-05,3.2727272727272725e-05,3.2727272727272725e-05,0
2009-01-14,3.5999999999999994e-05,3.5999999999999994e-05,3.5999999999999994e-05,3.5999999999999994e-05,0
2009-01-15,3.927272727272727e-05,3.927272727272727e-05,3.927272727272727e-05,3.927272727272727e-05,0
2009-01-16,4.2545454545454546e-05,4.2545454545454546e-05,4.2545454545454546e-05,4.2545454545454546e-05,0
2009-01-17,4.5818181818181815e-05,4.5818181818181815e-05,4.5818181818181815e-05,4.5818181818181815e-05,0
2009-01-18,4.9090909090909084e-05,4.9090909090909084e-05,4.9090909090909084e-05,4.9090909090909084e-05,0
2009-01-19,5.236363636363636e-05,5.236363636363636e-05,5.236363636363636e-05,5.236363636363636e-05,0
2009-01-20,5.5636363636363636e-05,5.5636363636363636e-05,5.5636363636363636e-05,5.5636363636363636e-05,0
2009-01-21,5.8909090909090905e-05,5.8909090909090905e-05,5.8909090909090905e-05,5.8909090909090905e-05,0
2009-01-22,6.218181818181817e-05,6.218181818181817e-05,6.218181818181817e-05,6.218181818181817e-05,0
2009-01-23,6.545454545454545e-05,6.545454545454545e-05,6.545454545454545e-05,6.545454545454545e-05,0
2009-01-24,6.872727272727273e-05,6.872727272727273e-05,6.872727272727273e-05,6.872727272727273e-05,0
2009-01-25,7.199999999999999e-05,7.199999999999999e-05,7.199999999999999e-05,7.199999999999999e-05,0
2009-01-26,7.527272727272726e-05,7.527272727272726e-05,7.527272727272726e-05,7.527272727272726e-05,0
2009-01-27,7.854545454545454e-05,7.854545454545454e-05,7.854545454545454e-05,7.854545454545454e-05,0
2009-01-28,8.181818181818182e-05,8.181818181818182e-05,8.181818181818182e-05,8.181818181818182e-05,0
2009-01-29,8.509090909090909e-05,8.509090909090909e-05,8.509090909090909e-05,8.509090909090909e-05,0
2009-01-30,8.836363636363635e-05,8.836363636363635e-05,8.836363636363635e-05,8.836363636363635e-05,0
2009-01-31,9.163636363636363e-05,9.163636363636363e-05,9.163636363636363e-05,9.163636363636363e-05,0
2009-02-01,9.49090909090909e-05,9.49090909090909e-05,9.49090909090909e-05,9.49090909090909e-05,0
2009-02-02,9.818181818181817e-05,9.818181818181817e-05,9.818181818181817e-05,9.818181818181817e-05,0
2009-02-03,0.00010145454545454544,0.00010145454545454544,0.00010145454545454544,0.00010145454545454544,0
2009-02-04,0.00010472727272727272,0.00010472727272727272,0.00010472727272727272,0.00010472727272727272,0
2009-02-05,0.000108,0.000108,0.000108,0.000108,0
2009-02-06,0.00011127272727272727,0.00011127272727272727,0.00011127272727272727,0.00011127272727272727,0
2009-02-07,0.00011454545454545453,0.00011454545454545453,0.00011454545454545453,0.00011454545454545453,0
2009-02-08,0.00011781818181818181,0.00011781818181818181,0.00011781818181818181,0.00011781818181818181,0
2009-02-09,0.00012109090909090909,0.00012109090909090909,0.00012109090909090909,0.00012109090909090909,0
2009-02-10,0.00012436363636363635,0.00012436363636363635,0.00012436363636363635,0.00012436363636363635,0
2009-02-11,0.00012763636363636362,0.00012763636363636362,0.00012763636363636362,0.00012763636363636362,0
2009-02-12,0.0001309090909090909,0.0001309090909090909,0.0001309090909090909,0.0001309090909090909,0
2009-02-13,0.00013418181818181818,0.00013418181818181818,0.00013418181818181818,0.00013418181818181818,0
2009-02-14,0.00013745454545454545,0.00013745454545454545,0.00013745454545454545,0.00013745454545454545,0
2009-02-15,0.00014072727272727273,0.00014072727272727273,0.00014072727272727273,0.00014072727272727273,0
2009-02-16,0.00014399999999999998,0.00014399999999999998,0.00014399999999999998,0.00014399999999999998,0
2009-02-17,0.00014727272727272725,0.00014727272727272725,0.00014727272727272725,0.00014727272727272725,0
2009-02-18,0.00015054545454545453,0.00015054545454545453,0.00015054545454545453,0.00015054545454545453,0
2009-02-19,0.0001538181818181818,0.0001538181818181818,0.0001538181818181818,0.0001538181818181818,0
2009-02-20,0.00015709090909090908,0.00015709090909090908,0.00015709090909090908,0.00015709090909090908,0
2009-02-21,0.00016036363636363636,0.00016036363636363636,0.00016036363636363636,0.00016036363636363636,0
2009-02-22,0.00016363636363636363,0.00016363636363636363,0.00016363636363636363,0.00016363636363636363,0
2009-02-23,0.0001669090909090909,0.0001669090909090909,0.0001669090909090909,0.0001669090909090909,0
2009-02-24,0.00017018181818181818,0.00017018181818181818,0.00017018181818181818,0.00017018181818181818,0
2009-02-25,0.00017345454545454543,0.00017345454545454543,0.00017345454545454543,0.00017345454545454543,0
2009-02-26,0.0001767272727272727,0.0001767272727272727,0.0001767272727272727,0.0001767272727272727,0
2009-02-27,0.00017999999999999998,0.00017999999999999998,0.00017999999999999998,0.00017999999999999998,0
2009-02-28,0.00018327272727272726,0.00018327272727272726,0.00018327272727272726,0.00018327272727272726,0
2009-03-01,0.00018654545454545454,0.00018654545454545454,0.00018654545454545454,0.00018654545454545454,0
2009-03-02,0.0001898181818181818,0.0001898181818181818,0.0001898181818181818,0.0001898181818181818,0
2009-03-03,0.0001930909090909091,0.0001930909090909091,0.0001930909090909091,0.0001930909090909091,0
2009-03-04,0.00019636363636363634,0.00019636363636363634,0.00019636363636363634,0.00019636363636363634,0
2009-03-05,0.0001996363636363636,0.0001996363636363636,0.0001996363636363636,0.0001996363636363636,0
2009-03-06,0.0002029090909090909,0.0002029090909090909,0.0002029090909090909,0.0002029090909090909,0
2009-03-07,0.00020618181818181816,0.00020618181818181816,0.00020618181818181816,0.00020618181818181816,0
2009-03-08,0.00020945454545454544,0.00020945454545454544,0.00020945454545454544,0.00020945454545454544,0
2009-03-09,0.00021272727272727272,0.00021272727272727272,0.00021272727272727272,0.00021272727272727272,0
2009-03-10,0.000216,0.000216,0.000216,0.000216,0
2009-03-11,0.00021927272727272727,0.00021927272727272727,0.00021927272727272727,0.00021927272727272727,0
2009-03-12,0.00022254545454545454,0.00022254545454545454,0.00022254545454545454,0.00022254545454545454,0
2009-03-13,0.0002258181818181818,0.0002258181818181818,0.0002258181818181818,0.0002258181818181818,0
2009-03-14,0.00022909090909090907,0.00022909090909090907,0.00022909090909090907,0.00022909090909090907,0
2009-03-15,0.00023236363636363634,0.00023236363636363634,0.00023236363636363634,0.00023236363636363634,0
2009-03-16,0.00023563636363636362,0.00023563636363636362,0.00023563636363636362,0.00023563636363636362,0
2009-03-17,0.0002389090909090909,0.0002389090909090909,0.0002389090909090909,0.0002389090909090909,0
2009-03-18,0.00024218181818181817,0.00024218181818181817,0.00024218181818181817,0.00024218181818181817,0
2009-03-19,0.00024545454545454545,0.00024545454545454545,0.00024545454545454545,0.00024545454545454545,0
2009-03-20,0.0002487272727272727,0.0002487272727272727,0.0002487272727272727,0.0002487272727272727,0
2009-03-21,0.000252,0.000252,0.000252,0.000252,0
2009-03-22,0.00025527272727272725,0.00025527272727272725,0.00025527272727272725,0.00025527272727272725,0
2009-03-23,0.00025854545454545455,0.00025854545454545455,0.00025854545454545455,0.00025854545454545455,0
2009-03-24,0.0002618181818181818,0.0002618181818181818,0.0002618181818181818,0.0002618181818181818,0
2009-03-25,0.00026509090909090905,0.00026509090909090905,0.00026509090909090905,0.00026509090909090905,0
2009-03-26,0.00026836363636363635,0.00026836363636363635,0.00026836363636363635,0.00026836363636363635,0
2009-03-27,0.0002716363636363636,0.0002716363636363636,0.0002716363636363636,0.0002716363636363636,0
2009-03-28,0.0002749090909090909,0.0002749090909090909,0.0002749090909090909,0.0002749090909090909,0
2009-03-29,0.00027818181818181815,0.00027818181818181815,0.00027818181818181815,0.00027818181818181815,0
2009-03-30,0.00028145454545454546,0.00028145454545454546,0.00028145454545454546,0.00028145454545454546,0
2009-03-31,0.0002847272727272727,0.0002847272727272727,0.0002847272727272727,0.0002847272727272727,0
2009-04-01,0.00028799999999999995,0.00028799999999999995,0.00028799999999999995,0.00028799999999999995,0
2009-04-02,0.00029127272727272726,0.00029127272727272726,0.00029127272727272726,0.00029127272727272726,0
2009-04-03,0.0002945454545454545,0.0002945454545454545,0.0002945454545454545,0.0002945454545454545,0
2009-04-04,0.0002978181818181818,0.0002978181818181818,0.0002978181818181818,0.0002978181818181818,0
2009-04-05,0.00030109090909090906,0.00030109090909090906,0.00030109090909090906,0.00030109090909090906,0
2009-04-06,0.00030436363636363636,0.00030436363636363636,0.00030436363636363636,0.00030436363636363636,0
2009-04-07,0.0003076363636363636,0.0003076363636363636,0.0003076363636363636,0.0003076363636363636,0
2009-04-08,0.0003109090909090909,0.0003109090909090909,0.0003109090909090909,0.0003109090909090909,0
2009-04-09,0.00031418181818181816,0.00031418181818181816,0.00031418181818181816,0.00031418181818181816,0
2009-04-10,0.0003174545454545454,0.0003174545454545454,0.0003174545454545454,0.0003174545454545454,0
2009-04-11,0.0003207272727272727,0.0003207272727272727,0.0003207272727272727,0.0003207272727272727,0
